Distance metric,Weight-Random,Weight-Geographical,Geographical-Random
QuantumJSD,0.20296666416420583,0.7744702264433458,0.1045458158814605
DegreeDivergence,0.0,0.0,0.0
JaccardDistance,0.0,0.0,0.0
Hamming,0.0,0.0,0.0
HammingIpsenMikhailov,0.07232856340901306,0.6491185668651481,0.6033543437877241
Frobenius,0.999680418012865,0.9875963397899536,0.9904913915373
NetLSD,0.0,0.0,0.0
GraphEdit,0.0,0.0,0.0
Spectral,121.35290229225333,1.2537139619256352,120.11453691127554
ShortestPath,0.0,0.0,0.0
